name_rep	at_id
MYB_tnt.MYB56_col_a	AT5G17800
MYB_tnt.MYB56_colamp_a	AT5G17800
MYB_tnt.MYB57_col_a	AT3G01530
MYB_tnt.MYB57_colamp_a	AT3G01530
MYB_tnt.MYB58_col_a	AT1G16490
MYB_tnt.MYB58_colamp_a	AT1G16490
MYB_tnt.MYB60_col	AT1G08810
MYB_tnt.MYB61_col_a	AT1G09540
MYB_tnt.MYB61_colamp_a	AT1G09540
MYB_tnt.MYB62_col_a	AT1G68320
MYB_tnt.MYB62_colamp_a	AT1G68320
MYB_tnt.MYB63_col_a	AT1G79180
MYB_tnt.MYB65_col200_a	AT3G11440
MYB_tnt.MYB65_colamp_a	AT3G11440
MYB_tnt.MYB67_col_a	AT3G12720
MYB_tnt.MYB70_col_a	AT2G23290
MYB_tnt.MYB73_col_a	AT4G37260
MYB_tnt.MYB74_col	AT4G05100
MYB_tnt.MYB74_colamp_a	AT4G05100
MYB_tnt.MYB77_col_a	AT3G50060
MYB_tnt.MYB77_colamp_a	AT3G50060
MYB_tnt.MYB81_col_a	AT2G26960
MYB_tnt.MYB81_colamp_a	AT2G26960
MYB_tnt.MYB83_col_a	AT3G08500
MYB_tnt.MYB83_colamp_a	AT3G08500
MYB_tnt.MYB88_col_a	AT2G02820
MYB_tnt.MYB88_colamp_a	AT2G02820
MYB_tnt.MYB92_100ng20cy_b	AT5G10280
MYB_tnt.MYB92_colamp_a	AT5G10280
MYB_tnt.MYB93_col_a	AT1G34670
MYB_tnt.MYB93_colamp_a	AT1G34670
MYB_tnt.MYB94_col_b	AT3G47600
MYB_tnt.MYB96_col_b	AT5G62470
MYB_tnt.MYB96_colamp_a	AT5G62470
MYB_tnt.MYB98_col_a	AT4G18770
MYB_tnt.MYB99_col_a	AT5G62320
MYB_tnt.MYB99_colamp_a	AT5G62320
MYBrelated_tnt.AT1G18960_col_a	AT1G18960
MYBrelated_tnt.AT1G72740_col_a	AT1G72740
MYBrelated_tnt.AT1G72740_colamp_a	AT1G72740
MYBrelated_tnt.AT3G10113_col_a	AT3G10113
MYBrelated_tnt.AT3G10580_col_a	AT3G10580
MYBrelated_tnt.AT3G10580_colamp_a	AT3G10580
